3	140
6555	076358	1614	027276
6555	020997	6628	162085
6628	120529	4221	160064
6628	139071	3557	174675
6633	114467	7071	037048
6633	003143	5656	033056
6637	096359	10072	105818
6637	024632	6135	191070
6736	161494	3527	175040
6736	065083	6365	150621
6789	202230	4407	076227
6789	187569	21	113297
6811	116939	4407	076227
6811	007349	1757	129311
7071	037048	9669	156977
7071	044332	4986	073645
7153	024185	64	065702
7153	078066	4987	124511
7195	034248	2014	079824
7195	105844	2828	165325
7418	139191	3527	170959
7418	129397	6811	116939
7439	201538	21	124672
7439	198871	4154	021422
7867	018291	6365	150621
7867	025373	3145	038565
8231	186669	3578	131746
8231	186976	9187	041511
8779	120315	5927	135389
8779	002397	8231	186669
8827	032685	6365	131990
8827	115123	5549	036452
8834	151435	6044	147022
8834	124216	4407	000038
8966	096114	4407	137059
8966	039654	1239	085178
9187	074550	1947	115378
9187	041511	8834	020395
9669	085664	5125	040125
9669	035081	3706	045665
9733	120177	206	114163
9733	050772	6633	094337
10003	105144	135649
10003	117597	019741
10159	092304	112617
10159	073775	006298
1250	119710	139408
1250	138247	012475
1330	113344	143375
1330	031306	097664
1471	085517	134780
1471	149199	085545
171	051898	044098
171	042447	071086
1842	118410	148180
1842	005469	044745
1990	070500	114960
1990	114605	113594
2124	116782	141596
2124	094564	020561
2160	158103	069875
2160	094965	036099
2213	144089	001396
2213	044448	003747
2253	105431	134375
2253	002919	043977
2260	063928	150722
2260	003303	139689
2520	057132	044977
2520	121770	139218
2820	116428	014715
2820	034769	003568
2883	129069	157435
2883	117805	065848
2908	126279	100157
2908	040768	141744
2918	110151	047756
2918	008568	060540
2926	110424	080918
2926	139400	012403
3047	083244	092877
3047	086884	097382
3140	168251	168683
3140	165312	165955
3185	062585	015064
3185	116044	005350
3203	087194	072921
3203	058230	028264
3278	060696	004562
3278	025102	092862
3340	103921	132954
3340	006169	085048
3661	181200	174410
3661	170929	172832
4119	130668	121210
4119	144590	145936
4293	105752	036370
4293	067875	012448
4435	115011	019754
4435	138727	041002
4472	012867	022030
4472	007457	131933
4602	165803	174540
4602	170567	177464
4834	171774	169354
4834	177057	164261
5001	006425	155104
5001	069514	058597
5024	071458	112235
5024	098310	038928
5124	086570	129146
5124	008783	053564
5247	083008	092801
5247	113736	108784
5354	196892	198027
5354	195102	184539
5469	097336	019774
5469	113689	121969
5519	041664	033628
5519	075504	107017
5590	193185	190639
5590	187531	186309
5622	131510	109794
5622	151367	033315
6000	016591	071500
6000	161265	027329
6074	186400	188350
6074	191612	193798
6112	126587	031494
6112	065718	053318
6128	023137	099037
6128	154951	043906
614	043361	134688
614	129500	022963
6198	160576	157463
6198	137789	060366
6320	007038	035289
6320	062057	065760
6458	065382	008440
6458	031593	123752
6958	186329	192660
6958	198796	190970
7004	118031	122858
7004	013767	026933
727	179424	177586
727	163534	177203
7346	115365	071393
7346	105820	054218
7556	000406	006370
7556	109951	009524
7878	092328	111779
7878	007385	057468
8045	146893	059156
8045	146725	081735
8514	026132	094970
8514	126343	081159
8641	152078	018497
8641	089826	081010
8642	024518	080356
8642	146165	113230
8742	128285	126238
8742	068684	080695
8770	147330	009522
8770	135444	151068
8820	013014	009922
8820	097251	032714
8833	112855	070894
8833	140281	017845
9156	065467	038885
9156	094073	107622
9646	122660	152801
9646	004730	096224
9686	137689	065903
9686	059291	100364
9797	118318	069690
9797	111833	019403
9864	182678	194899
9864	185241	188738
993	070429	126672
993	146938	040583
9937	044341	032491
9937	075991	075899
10003	117597	993	126672
10003	019741	1330	143375
10159	006298	2213	044448
10159	092304	171	051898
1250	012475	2820	034769
1250	139408	8641	081010
1330	097664	2260	063928
1330	031306	6320	065760
1471	149199	1990	114605
1471	134780	171	044098
171	051898	5247	092801
171	042447	6198	160576
1842	044745	7346	054218
1842	118410	8833	017845
1990	113594	5001	058597
1990	070500	5519	041664
2124	094564	614	134688
2124	020561	3047	097382
2160	036099	727	163534
2160	158103	5024	112235
2213	003747	5469	097336
2213	001396	2926	110424
2253	134375	727	177586
2253	105431	5590	186309
2260	139689	8641	089826
2260	063928	4293	036370
2520	057132	3661	181200
2520	044977	8641	152078
2820	008235	1330	097664
2820	003568	6000	027329
2883	129069	2926	012403
2883	065848	9864	185241
2908	141744	2213	044448
2908	126279	8742	080695
2918	110151	4435	019754
2918	047756	614	134688
2926	080918	6320	007038
2926	012403	2213	044448
3047	097382	5590	193185
3047	092877	5519	041664
3140	165312	5354	196892
3140	168683	3340	132954
3185	015064	1471	085517
3185	116044	6000	027329
3203	087194	9156	107622
3203	072921	4435	115011
3278	004562	6320	062057
3278	092862	5124	053564
3340	103921	727	179424
3340	006169	3185	062585
3661	170929	1471	085545
3661	181200	2926	139400
4119	121210	6198	060366
4119	130668	2160	094965
4293	012448	3278	092862
4293	067875	3047	083244
4435	138727	8045	059156
4435	115011	3340	132954
4472	022030	993	126672
4472	131933	9864	182678
4602	177464	4293	012448
4602	174540	4834	177057
4834	164261	2883	129069
4834	169354	1471	085517
5001	155104	9646	122660
5001	006425	8742	080695
5024	112235	9646	152801
5024	038928	7004	122858
5124	008783	5622	131510
5124	129146	3185	015064
5247	113736	6458	008440
5247	083008	9156	107622
5354	184539	2820	003568
5354	196892	6458	008440
5469	113689	6112	053318
5469	097336	8642	080356
5519	107017	2918	060540
5519	041664	1250	119710
5590	186309	1471	085545
5590	187531	3278	092862
5622	151367	4435	019754
5622	131510	6958	190970
6000	027329	7346	105820
6000	071500	2213	044448
6074	186400	6128	043906
6074	193798	2918	060540
6112	031494	2124	020561
6112	126587	171	042447
6128	099037	2260	139689
6128	043906	8045	146725
614	129500	8514	126343
614	134688	3203	087194
6198	157463	1990	113594
6198	060366	4834	177057
6320	035289	3340	006169
6320	065760	8833	140281
6458	065382	2520	057132
6458	031593	2260	139689
6958	192660	3047	083244
6958	186329	6000	161265
7004	026933	2883	129069
7004	122858	2253	134375
727	179424	8833	070894
727	177203	8641	089826
7346	071393	3185	015064
7346	054218	5354	196892
7556	109951	7346	115365
7556	009524	9797	069690
7878	111779	7556	109951
7878	092328	171	051898
8045	146725	2160	036099
8045	081735	2883	157435
8514	094970	6128	154951
8514	026132	9797	069690
8641	152078	8770	135444
8641	081010	7878	007385
8642	024518	3203	058230
8642	080356	2160	069875
8742	080695	9646	096224
8742	128285	6074	188350
8770	135444	4602	174540
8770	147330	5001	006425
8820	013014	1842	005469
8820	009922	3047	092877
8833	017845	2520	044977
8833	140281	3340	103921
9156	094073	2260	139689
9156	107622	5024	038928
9646	122660	6320	007038
9646	152801	9156	107622
9686	100364	2908	100157
9686	137689	4119	144590
9797	111833	2260	003303
9797	019403	3185	015064
9864	194899	8045	081735
9864	188738	7004	026933
993	146938	3185	015064
993	070429	6074	191612
9937	075991	3047	097382
9937	044341	2260	063928
114	174631	171785
114	178625	162782
1204	134466	000261
1204	045037	135752
122	107223	064274
122	038417	060876
1335	069316	056092
1335	125562	047245
1443	031525	121122
1443	149428	003986
1549	032436	017299
1549	116078	016843
1882	167692	178920
1882	171353	181703
1890	045375	160462
1890	065023	015147
2097	022516	000562
2097	153919	141960
2141	135383	021336
2141	016928	138274
2182	166274	178307
2182	167992	162904
2334	103450	040386
2334	028877	087996
2393	171127	172451
2393	176746	178575
2443	119391	109893
2443	062047	083066
251	032540	033205
251	143003	105040
2603	056968	156937
2603	110336	160736
2758	167442	172146
2758	175211	180318
2921	023623	096976
2921	144163	020048
2972	016439	086071
2972	035940	125505
3449	030407	032755
3449	118444	081169
3559	168001	175268
3559	168155	168389
3678	120915	034791
3678	090765	091033
3719	145310	154086
3719	115949	127303
373	167426	171168
373	180091	176288
374	095861	136061
374	012681	148432
4163	135426	146541
4163	101849	010855
4238	095802	088028
4238	114928	072055
4410	086281	006898
4410	088056	049333
4453	167659	168214
4453	166614	169519
446	122447	122655
446	037529	030891
4460	165933	182521
4460	181587	168471
4493	166920	176714
4493	169700	177161
4566	052564	058624
4566	023268	125846
4702	020087	117467
4702	022574	146999
4974	049698	161417
4974	017076	071197
4976	040426	160544
4976	094060	006956
5165	151451	113153
5165	098711	157969
5190	017407	150189
5190	043063	051281
5423	046148	019795
5423	131405	068949
553	162218	123942
553	026496	044609
5530	033403	030688
5530	136659	152996
5953	132094	036301
5953	084300	049439
599	090818	104090
599	122003	105258
6088	071615	023857
6088	057856	132342
6151	096208	080570
6151	078841	127439
6162	027504	125835
6162	053219	107564
6386	059402	088037
6386	059411	006137
6418	149745	049221
6418	058025	012209
6443	025300	158792
6443	110585	087363
6449	158559	089466
6449	014718	122933
6562	147252	020298
6562	142042	070886
6657	199323	184099
6657	195712	186983
6886	187873	191409
6886	183835	195609
7159	128319	108423
7159	102469	054380
7338	123581	062464
7338	043740	089135
7541	105894	011956
7541	000124	088651
758	058364	085963
758	019417	086517
7712	184979	186973
7712	199120	201587
7990	197879	193418
7990	182873	197044
82	065009	158899
82	081582	120241
8609	160280	107389
8609	139406	096582
8611	185759	184778
8611	201920	184270
8692	061069	134209
8692	148651	069458
8831	115156	145539
8831	024320	099433
8858	034120	043580
8858	044774	048288
8905	086653	101216
8905	116991	026864
9542	049372	151345
9542	005173	027333
9739	195176	197334
9739	201846	201398
9772	091735	027591
9772	098547	010835
9787	101485	051643
9787	139381	023483
114	178625	7990	193418
114	162782	2141	138274
1204	045037	7159	108423
1204	000261	2141	135383
122	060876	6449	089466
122	038417	5165	113153
1335	125562	5423	019795
1335	069316	3719	145310
1443	121122	5530	136659
1443	031525	5165	157969
1549	116078	8609	107389
1549	032436	7338	043740
1882	171353	4410	049333
1882	178920	2921	144163
1890	015147	5530	152996
1890	160462	8611	201920
2097	141960	114	174631
2097	022516	4702	020087
2141	021336	9542	027333
2141	016928	6162	125835
2182	178307	82	081582
2182	162904	6418	149745
2334	040386	6562	147252
2334	087996	2603	110336
2393	176746	373	167426
2393	178575	6657	199323
2443	083066	1335	125562
2443	119391	7541	105894
251	105040	3678	091033
251	143003	4566	058624
2603	056968	6443	110585
2603	156937	7159	102469
2758	175211	6162	027504
2758	180318	5530	030688
2921	144163	122	107223
2921	023623	8609	160280
2972	016439	122	107223
2972	086071	7990	182873
3449	118444	5530	033403
3449	030407	5165	151451
3559	168389	2182	162904
3559	168155	9772	098547
3678	091033	6886	187873
3678	120915	8611	184270
3719	145310	2921	020048
3719	154086	6418	049221
373	180091	6386	059402
373	176288	8692	134209
374	136061	6418	012209
374	148432	1882	178920
4163	146541	82	120241
4163	135426	5190	150189
4238	088028	4410	049333
4238	072055	8905	101216
4410	088056	4974	017076
4410	086281	599	090818
4453	166614	4238	114928
4453	167659	446	122447
446	122447	7338	043740
446	030891	3719	145310
4460	168471	2334	040386
4460	182521	6886	183835
4493	177161	9542	049372
4493	169700	9739	201398
4566	052564	6151	127439
4566	023268	3678	090765
4702	022574	122	107223
4702	146999	5190	051281
4974	017076	8858	044774
4974	161417	6151	078841
4976	040426	114	171785
4976	160544	6418	049221
5165	098711	6418	058025
5165	151451	9772	091735
5190	043063	9787	101485
5190	017407	5423	131405
5423	019795	6562	020298
5423	131405	758	086517
553	044609	7338	123581
553	123942	251	033205
5530	033403	6886	187873
5530	030688	2334	087996
5953	132094	4702	117467
5953	084300	4410	049333
599	104090	114	171785
599	122003	3449	118444
6088	071615	8831	145539
6088	023857	6386	006137
6151	078841	1204	135752
6151	127439	8609	139406
6162	107564	4460	181587
6162	053219	2603	110336
6386	059411	1549	032436
6386	088037	3678	090765
6418	149745	4493	169700
6418	058025	7338	062464
6443	025300	2921	020048
6443	110585	553	044609
6449	158559	9739	197334
6449	089466	374	095861
6562	070886	758	058364
6562	147252	2393	178575
6657	184099	1890	045375
6657	199323	122	060876
6886	195609	2097	022516
6886	191409	373	171168
7159	108423	7541	011956
7159	128319	82	081582
7338	062464	8611	201920
7338	089135	9542	151345
7541	011956	374	012681
7541	088651	758	085963
758	085963	7541	088651
758	086517	1549	116078
7712	199120	8611	201920
7712	201587	8831	145539
7990	197044	6151	080570
7990	182873	122	064274
82	158899	5190	017407
82	120241	3559	168389
8609	160280	1890	015147
8609	096582	2393	171127
8611	185759	6886	191409
8611	201920	3719	115949
8692	061069	758	019417
8692	134209	1204	134466
8831	099433	2097	141960
8831	145539	6162	107564
8858	043580	446	030891
8858	034120	3719	115949
8905	026864	2334	028877
8905	086653	5953	036301
9542	027333	5190	051281
9542	005173	8609	096582
9739	197334	6162	107564
9739	201846	82	081582
9772	010835	4976	160544
9772	091735	2443	119391
9787	101485	8611	184270
9787	051643	1335	047245
